;R100;R200;R300;R400;R500;R600;RV670;R700;Evergreen;Northern Islands;Southern Islands;Sea Islands;Volcanic Islands;Arctic Islands;Vega
Released;Apr 2000;Aug 2001;Sep 2002;May 2004;Oct 2005;May 2007;Nov 2007;Jun 2008;Sep 2009;Oct 2010;Jan 2012;Sep 2013;Jun 2015;Jun 2016;Jun 2017
AMD support;;;;;;;;;;;;;;;
Instruction set;Not publicly known;Not publicly known;Not publicly known;Not publicly known;Not publicly known;TeraScale instruction set;TeraScale instruction set;TeraScale instruction set;TeraScale instruction set;TeraScale instruction set;GCN instruction set;GCN instruction set;GCN instruction set;GCN instruction set;GCN instruction set
Microarchitecture;Not publicly known;TeraScale 1 (VLIW5);TeraScale 1 (VLIW5);TeraScale 1 (VLIW5);TeraScale 2 (VLIW5);TeraScale 3 (VLIW4);GCN 1st gen;GCN 2nd gen;GCN 3rd gen;GCN 4th gen;GCN 5th gen;Type;Direct3D;Shader model;OpenGL
Fixed pipeline[a];Programmable pixel & vertex pipelines;Programmable pixel & vertex pipelines;Programmable pixel & vertex pipelines;Programmable pixel & vertex pipelines;Unified shader model;Unified shader model;Unified shader model;Unified shader model;Unified shader model;Unified shader model;Unified shader model;Unified shader model;Unified shader model;Unified shader model;Vulkan
7.0;8.1;9.0 11 (9_2);9.0b 11 (9_2);9.0c 11 (9_3);10.0 11 (10_0);10.1 11 (10_1);10.1 11 (10_1);11 (11_0);11 (11_0);11 (11_1) 12 (11_1);11 (12_0) 12 (12_0);11 (12_0) 12 (12_0);11 (12_0) 12 (12_0);11 (12_1) 12 (12_1);OpenCL
N/A;1.4;2.0+;2.0b;3.0;4.0;4.1;4.1;5.0;5.0;5.1 6.0;5.1 6.0;5.1 6.0;5.1 6.0;5.1 6.0;HSA
1.3;1.3;2.0[b];2.0[b];2.0[b];3.3;3.3;3.3;4.4[c];4.4[c];4.6 with GLSL 4.5 (Linux 4.5+);4.6 with GLSL 4.5 (Linux 4.5+);4.6 with GLSL 4.5 (Linux 4.5+);4.6 with GLSL 4.5 (Linux 4.5+);4.6 with GLSL 4.5 (Linux 4.5+);Power saving
N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Linux Mesa 17+ Win 7+: 1.0;1.1;1.1;1.1;1.1;Video decoder ASIC
N/A;N/A;N/A;N/A;N/A;Close to Metal;Close to Metal;1.1;1.2;1.2;1.2;2.0 Windows 7+ Adrenalin (1.2 in Linux, 2.0 and 2.1 WIP mostly in Linux ROCm);2.0 Windows 7+ Adrenalin (1.2 in Linux, 2.0 and 2.1 WIP mostly in Linux ROCm);2.0 Windows 7+ Adrenalin (1.2 in Linux, 2.0 and 2.1 WIP mostly in Linux ROCm);2.0 Windows 7+ Adrenalin (1.2 in Linux, 2.0 and 2.1 WIP mostly in Linux ROCm);Video encoding ASIC
N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;;;;;;TrueAudio
?;?;?;?;?;PowerPlay;PowerPlay;PowerPlay;PowerPlay;PowerTune;PowerTune & ZeroCore Power;PowerTune & ZeroCore Power;PowerTune & ZeroCore Power;PowerTune & ZeroCore Power;PowerTune & ZeroCore Power;FreeSync
N/A;N/A;N/A;N/A;N/A;Avivo/UVD;UVD+;UVD 2;UVD 2.2;UVD 3;UVD 4;UVD 4.2;UVD 5.0 or 6.0;UVD 6.3;UVD 7[1][d];HDCP[e]
N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;VCE 1.0;VCE 2.0;VCE 3.0 or 3.1;VCE 3.4;VCE 4.0[1][d];PlayReady[e]
N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Via dedicated DSP;Via dedicated DSP;Via shaders;Via shaders;Max. displays[f]
N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;1 2;1 2;1 2;1 2;Max. resolution
?;?;?;?;?;?;?;?;?;?;?;1.4;1.4;1.4 2.2;1.4 2.2;/drm/radeon[g]
N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;3.0;3.0;/drm/amdgpu[g]
1–2;2;2;2;2;2;2;2;2–6;2–6;2–6;2–6;2–6;2–6;2–6;
?;?;?;?;?;?;?;?;2–6 × 2560×1600;2–6 × 2560×1600;2–6 × 4096×2160 @ 60 Hz;2–6 × 4096×2160 @ 60 Hz;2–6 × 4096×2160 @ 60 Hz;2–6 × 5120×2880 @ 60 Hz;3 × 7680×4320 @ 60 Hz[2];
;;;;;;;;;;;;N/A;N/A;N/A;
N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Experimental[3];Experimental[3];;;;
