;;Titan FTP Server;Cerberus;Complete;CrushFTP Server;FileZilla;IIS;Multi Server;SFTPPlus;WS FTP;Robo-FTP Server;Serv-u FTP;JScape MFT Server
;License type;proprietary;proprietary;proprietary;proprietary;FLOSS/GPL2;proprietary;proprietary;proprietary;proprietary;proprietary;proprietary;proprietary
OS;Linux;No;No;No;Yes;No;No;Yes;Yes;No;No;No;Yes
OS;Mac OS X;No;No;No;Yes;No;No;No;Yes;No;No;No;Yes
OS;Unix;No;No;?;Yes;No;No;No;Yes;No;No;No;Yes
OS;Windows;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
User Interface;CLI;No;?;?;Yes;?;Yes, via PowerShell[4];?;Yes;?;No;No;Yes
User Interface;GUI integrated;Yes;Yes;?;Yes;Yes;Yes;?;Yes;Yes;Yes;?;No
User Interface;GUI(s) separately;Yes;Yes;?;?;?;?;?;Yes;?;Yes;?;No
User Interface;Web-based GUI;Yes;Yes;Yes;Yes;No;No;?;?;?;No;Yes;Yes
Services;FTP;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Services;SFTP;Yes;Yes;Yes;Yes;No;No;Yes;Yes;Yes;Yes;No;Yes
Services;FTPS;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Services;SCP;No;No;Yes;Yes;No;No;Yes;Yes;Yes;No;No;Yes
Services;WebDAV;No;No;No;Yes;No;Yes;No;No;No;Yes;No;Yes
Services;HTTP/HTTPS;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;?;Yes
Services;AS2;No;No;No;No;No;No;No;No;No;No;No;Yes
Authentication;LDAP;No;Yes;Yes;Yes;No;No;No;No;Yes;No;No;Yes
Authentication;Active Directory;Yes;Yes;Yes;Yes;No;Yes;Yes;Yes;Yes;Yes;No;Yes
Authentication;Local;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes
Authentication;Database;Yes;No;Yes;Yes;No;No;Yes;Yes;Yes;Yes;No;Yes
High Availability;Failover Cluster (active/passive);No;Yes;No;Yes;No;Yes;No;No;Yes;Yes;No;Yes
High Availability;Load Balancing (active/active);No;Yes;?;Yes;No;Yes;?;No;Yes;Yes;No;Yes
Automation;Event-handling;Yes;Yes;Yes;Yes;No;No;?;?;?;Yes;?;Yes
Automation;Scripting;Yes;No;Yes;Yes;No;No;?;?;?;Yes;?;Yes
Automation;REST API;?;?;?;?;?;?;?;?;?;?;?;Yes
;;Titan FTP Server;Cerberus;Complete;CrushFTP Server;FileZilla;IIS;Multi Server;SFTPPlus;WS FTP;Robo-FTP Server;Serv-u FTP;JScape MFT Server
