 Model ; Codename ; Released ; CPU support ; Fab (nm) ; HT (MHz) ; IGP ; CrossFire ; Southbridge ; Features / Notes
AMD 480X chipset(originally CrossFire Xpress 1600);RD480;Oct 2006;Athlon&nbsp";64,Sempron;110;1000 (HT2.0);No;x8 + x8;SB600,ULi-M1575;
AMD 570X/550X chipset(originally CrossFire Xpress 3100);RD570;Jun 2007;Phenom, Athlon64,Sempron; ;1000 HT2.0);rowspan=""2"" No;x16 + x8;SB600;
AMD 580X chipset(originally CrossFire Xpress 3200);RD580;Oct 2006;Phenom, Athlon64,Sempron; ;1000 HT2.0);x16 + x16;;SB600;
;;;;;;;;;
AMD 690V chipset;RS690C;Feb 2007;Athlon64,Sempron;80;1000 (HT2.0);Radeon X1200<br />(350MHz);rowspan=""2"" No;SB600;DirectX 9.0, AVIVO, HDMI/HDCP,noLVDS
AMD 690G chipset;RS690;Feb 2007;Phenom, Athlon64,Sempron;80;1000 (HT2.0);Radeon X1250<br />(400MHz);DirectX 9.0, AVIVO, HDMI/HDCP;SB600;
AMD M690V chipset;RS690MC;Feb 2007;Turion&nbsp";64&nbsp";X2,X2 mobile;80;800 (HT2.0);Radeon X1200<br />(350 MHz);rowspan=""2"" No;SB600;DirectX 9.0, AVIVO, DVI, HDMI/HDCP,noLVDS, Powerplay 7.0
AMD M690 chipset;RS690M;Feb 2007;Turion&nbsp";64&nbsp";X2,X2 mobile;80;800 (HT2.0);Radeon X1250<br />(350 MHz);DirectX 9.0, AVIVO, DVI/HDCP,no HDMI, Powerplay 7.0;SB600;
AMD M690E chipset;RS690T;Feb 2007;AthlonNeo,MobileSempron;80;800 (HT2.0);Radeon X1250<br />(350Mhz);rowspan=""2"" No;SB600;DirectX 9.0, AVIVO, 2×HDMI/HDCP,Powerplay 7.0
AMD M690T chipset;RS690T;Feb 2007;Turion&nbsp";64&nbsp";X2,X2 mobile;80;800 (HT2.0);Radeon X1270<br />(400Mhz);DirectX 9.0, AVIVO, HDMI/HDCP,Powerplay 7.0;SB600;
;;;;;;;;;
AMD 740 chipset;RX740;2008;Athlon64,Phenom,Sempron;55;1000 (HT2.0);No;rowspan=""2"" No;SB600,SB700,SB750;Single PCIe 1.1 x16
AMD 740G chipset;RS740;2008;Athlon64,Phenom,Sempron;55;1000 (HT2.0);Radeon 2100;DirectX 9.0, AVIVO, HDMI/HDCP,OR single PCIe 1.1 x16;SB600,SB700,SB750;
AMD 760G chipset;RS780L;2009;Athlon64,Phenom,Sempron;55;2600 (HT3.0);Radeon 3000;Hybrid;SB710;DirectX 10, AVIVO HD, HDMI/HDCP,OR single PCIe 2.0 x16
AMD 770 chipset;RX780;2008;Athlon64,Phenom,Sempron;65;2600 (HT3.0);No;No;SB600,SB700,SB710,SB750;Single PCIe 2.0 x16
AMD 780V chipset;RS780C;2008;Athlon64,Phenom,Sempron;55;2600 (HT3.0);Radeon 3100;No;SB700,SB710,SB750;DirectX 10, AVIVO HD, HDMI/HDCP,DisplayPort/DPCP,OR single PCIe 2.0 x16
AMD 780G chipset;RS780I;2008;Athlon64,Phenom,Sempron;55;2600 (HT3.0);Radeon HD 3200;Hybrid;SB700,SB710,SB750;
DirectX 10, UVD+, HDMI/HDCP, DisplayPort/DPCP, Side-port memory,OR single PCIe 2.0 x16;AMD M780V chipset;RS780MC;2008;MobileTurion,MobileAthlon,AthlonNeo;55;2600 (HT3.0);Radeon 3100;rowspan=""2""  [[AMD 700 chipset series#PowerXpress|PowerXpress]]<br />[[Advanced eXpress I/O Module|AXIOM]]/[[Mobile PCI Express Module|MXM<br />module(s)]];SB600,SB700,SB710
DirectX 10, UVD+,HDMI/HDCP, DisplayPort, DVI, VGA,OR single PCIe 2.0 x16Puma Platform, PowerXpress;AMD M780G chipset;2008;MobileTurion,MobileAthlon,AthlonNeo;55;2600 (HT3.0);RS780M;Radeon HD 3200;SB600,SB700,SB710;DirectX 10, UVD+,HDMI/HDCP, DisplayPort, DVI, VGA,OR single PCIe 2.0 x16Puma Platform, PowerXpress
AMD 785G chipset;RS880;2009;Athlon64,Phenom,Sempron;55;2600 (HT3.0);Radeon HD 4200;Hybrid,<br />x16 + x4;SB710,SB750,SB810,SB850;DirectX 10.1, UVD2,Side-port memory,HDMI/HDCP, DisplayPort/DPCP,OR two PCIe 2.0 x16TDP: 11 W (500MHz), 3 W in PowerPlay
785E;RS785E; ; ;55;2200 (HT3.0);Radeon HD 4200;Hybrid;SB810, SB850, SB820M; 
AMD 790GX chipset;RS780D;2008;Athlon64,Phenom,Sempron;55;2600 (HT3.0);Radeon HD 3300;Hybrid,<br />x8 + x8;SB750;DirectX 10, UVD+,Side-port memory,HDMI/HDCP, DisplayPort/DPCP,OR two PCIe 2.0 x16
AMD 790X chipset;RD780;2008;Athlon64,Phenom,Sempron;65;2600 (HT3.0);No;x8 + x8;SB600,SB700,SB750,SB850;Two PCIe 2.0 x16
AMD 790FX chipset;RD790;Nov 2007;Athlon64,Phenom,Sempron;65;2600 (HT3.0);No;CrossFire X<br />(dual x16<br />or quad x8);SB600,SB750,SB850;Up to four PCIe 2.0 x16Support for AMD Quad FX platform (FASN8),Dual socket enthusiast platform with NUMA,optional single socket variant,720-pin 1.1 V FC-BGA
Model;Codename;Released;CPU support;Fab (nm);HT (MHz);IGP;CrossFire;Southbridge;Features / Notes
