 File system; Tail packing; Transparent compression; Block suballocation; Allocate-on-flush; Extents; Variable file block sizeVariable block size refers to systems which support different block sizes on a per-file basis. (This is similar to [[extent (file systems)|extents]] but a slightly different implementational choice.) The current implementation in [[UFS2 (file system)|UFS2]] is read-only.; Sparse file; Copy on write; Trim support
DECtape;no;no;no;no;no;no;no;no;no
BeeGFS;no;yes;no;yes;yes;yes;yes;yes;dunno
Level-D;no;no;no;no;yes;no;no;no;dunno
APFS;dunno;no;dunno;yes;yes;dunno;yes;yes;yes
Version 6 Unix file system (V6FS);no;no;no;no;no;no;yes;dunno;no
Version 7 Unix file system (V7FS);no;no;no;no;no;no;yes;dunno;no
FAT12;no;partialnote-51;partial (only inside of Stacker 3/4 and DriveSpace 3 compressed volumes);no;partial (only inside of compressed volumes);no;partial (only inside of compressed volumes);no;yes (Linux)
FAT16/ FAT16B/ FAT16X;no;partial[[SuperStor]] in [[DR DOS 6.0]], [[PalmDOS 1.0]], [[PC DOS 6.1]] and [[PC DOS 6.3|6.3]], [[Stacker]] in [[Novell DOS 7]], [[OpenDOS 7.01]], [[DR-DOS 7.02]] (and higher), and [[PC DOS 7.0]] (and higher), [[DoubleSpace]] in [[MS-DOS 6.0]] and [[MS-DOS 6.2|6.20]], and [[DriveSpace]] in [[MS-DOS 6.22]] and [[Windows 95]], [[Windows 98|98]] and [[Windows Me|Me]] are [[disk compression]] schemes for [[File Allocation Table|FAT]], but are not supported for other operating systems.;partial (only inside of Stacker 3/4 and DriveSpace 3 compressed volumes);no;partial (only inside of compressed volumes);no;partial (only inside of compressed volumes);no;yes (Linux)
FAT32/ FAT32X;no;no;no;no;no;no;no;no;yes (Linux)
GFS;partialOnly for ""stuffed"" inodes;no;no;no;no;no;yes;dunno;yes
HPFS;no;no;no;no;yes;no;no;dunno;no
NTFS;no;yes;partial;no;yes;no;yes;dunno;yes (NT 6.1 + newer)
HFS Plus;no;no;no;no;yes;no;no;dunno;yes (macOS)
FFS;no;no;yes2 8:1Other block:fragment size ratios supported"; 8:1 is typical and recommended by most implementations.;no;no;no;yes;dunno;no
UFS1;no;no;yes2 8:1note-45;no;no;no;yes;dunno;no
UFS2;no;no;yes2 8:1note-45;no;no;yes;yes;dunno;yes
LFS;no;no;yes2 8:1note-45;no;no;no;yes;yes;dunno
ext;no;no;no;no;no;no;yes;no;no
Xiafs;no;no;no;no;no;no;yes;dunno;dunno
ext2;no;no[[e2compr]], a set of [[patch (computing)|patches]] providing block-based [[data compression|compression]] for ext2, has been available since 1997, but has never been merged into the mainline Linux kernel.;noFragments were planned, but never actually implemented on ext2 and ext3.;no;no;no;yes;no;yes
ext3;no;no;nonote-47;no;no;no;yes;no;yes
ext4;no;no;nonote-47;yes;yes;no;yes;no;yes
NOVA;no;no;no;no;yes;no;yes;yes;dunno
F2FS;no;no;no;yes;partial Stores one largest extent in disk, and caches multiple extents in DRAM dynamically.;no;yes;yes;yes
Lustre;no;no;no;yes;yes;no;yes;dunno;dunno
NILFS;no;no;no;yes;no;no;yes;yes;dunno
ReiserFS;yes;no;yesTail packing is technically a special case of block suballocation where the suballocation unit size is always 1 byte.;no;no;no;yes;dunno;dunno
Reiser4;yes;yesnote-50;yesnote-73;yes;yesIn ""extents"" mode.;no;yes;dunno;dunno
OCFS;no;no;no;no;yes;no;dunno;dunno;dunno
OCFS2;no;no;no;no;yes;no;yes;dunno;dunno
XFS;no;no;no;yes;yes;no;yes;yes, on request;yes (Linux)
JFS;no;yes2 only in JFS1 on AIX;yes;no;yes;no;yes;dunno;yes (Linux)
QFS;no;no;yes;no;no;no;dunno;dunno;dunno
BFS;no;no;no;no;yes;no;dunno;dunno;yes (Haiku)
NSS;no;yes;no;no;yes;no;dunno;dunno;dunno
NWFS;no;yes;yesEach possible size (in sectors) of file tail has a corresponding suballocation block chain in which all the tails of that size are stored. The overhead of managing suballocation block chains is usually less than the amount of block overhead saved by being able to increase the block size but the process is less efficient if there is not much free disk space.;no;no;no;dunno;dunno;dunno
ODS-5;no;no;no;no;yes;no;dunno;dunno;dunno
VxFS;no;no;dunno;no;yes;no;yes;dunno;dunno
UDF;no;no;no;dunnoDepends on UDF implementation.;yes;no;no;dunno;no
Fossil;no;yes;no;no;no;no;dunno;dunno;dunno
ZFS;no;yes;yes;yes;no;yes;yes;yes;yes (FreeBSD, illumos)
Btrfs;yes;yes;yes;yes;yes;yes;yes;yes;yes
VMFS2;no;no;yes;no;no;no;yes;dunno;dunno
VMFS3;no;no;yes;no;no;no;yes;dunno;dunno
ReFS;dunno;no;dunno;dunno;dunno;no;yes;yes;dunno
ISO 9660;no;noLinux supports the zisofs extension that allows per-file compression, and file system creation tools may support creating such images.  zisofs images are incompatible on non-Linux OSes.;no;no;yesISO 9660 Level 3 only;no;no;no;no
Rock Ridge;no;nonote-80;no;no;yesnote-81;no;no;no;no
Joliet (""CDFS"");no;nonote-80;no;no;yesnote-81;no;no;no;no
SquashFS;no;yes;no;no;no;no;yes;no;no
File system;Tail packing;Transparent compression;Block suballocation;Allocate-on-flush;Extents;Variable file block sizenote-41;Sparse file;Copy on write;Trim support
