;Australia Post;Canada Post;DHL;FedEx;OnTrac;United States Postal Service;UPS;Purolator
Apache OFBiz;no;no;yes;yes;no;yes;yes;n/a
Bigcommerce;yes;yes;no;yes;no;yes;yes;no
KonaKart;no;no;no;yes;no;yes;yes;n/a
LemonStand;yes;yes;no;yes;yes;no;yes;yes
Magento;no;yes;yes;yes;no;yes;yes;yes
nopCommerce;yes;yes;no;yes;no;yes;yes;no
osCommerce;no;no;no;no;no;no;no;n/a
PrestaShop;yes;yes;no;yes;no;yes;yes;yes
Sana Commerce;no;no;yes;yes;no;yes;no;n/a
Shopify;no;free add-on;no;no;no;yes;yes;n/a
WooCommerce;no;yes;no;no;no;yes;no;no
Zen Cart;free add-on;free add-on;free add-on;free add-on;yes;free add-on;yes;yes
;Australia Post;Canada Post;DHL;FedEx;OnTrac;United States Postal Service;UPS;Purolator
