Graphics;Launch;PowerVR core;Market;Chipset;Code name;Device id.;Core renderclock (MHz);pipelines;Shader model(vertex/pixel);API support;API support;API support;Memory bandwidth (GB/s);DVMT (MB);Hardware acceleration;Hardware acceleration;Hardware acceleration
Graphics;Launch;PowerVR core;Market;Chipset;Code name;Device id.;Core renderclock (MHz);pipelines;Shader model(vertex/pixel);Direct3D;OpenGL;OpenCL;Memory bandwidth (GB/s);DVMT (MB);MPEG-2;VC-1;AVC
GMA 500;2008;SGX535;CE;CE3100;Canmore;2E5B;rowspan=2 Dunno;2;3.0;9.0c;2.0;;4.2;256;Full;Full;Full
GMA 500;2009;SGX535;CE;Atom CE4100;Sodaville;2E5B;Atom CE4110;2;3.0;9.0c;2.0;;4.2;256;Full;Full;Full
GMA 500;2009;SGX535;CE;Sodaville;200;2E5B;Atom CE4130;2;3.0;9.0c;2.0;;4.2;256;Full;Full;Full
GMA 500;2009;SGX535;CE;Sodaville;Atom CE4150;2E5B;400;2;3.0;9.0c;2.0;;4.2;256;Full;Full;Full
GMA 500;2009;SGX535;CE;Sodaville;Atom CE4170;2E5B;2010;2;3.0;9.0c;2.0;;4.2;256;Full;Full;Full
GMA 500;2009;SGX535;CE;Sodaville;Atom CE4200;2E5B;Groveland;2;3.0;9.0c;2.0;;4.2;256;Full;Full;Full
GMA 500;Dunno;SGX535;CE;2008;MID;2E5B;UL11L;2;3.0;9.0c;2.0;;4.2;256;Full;Full;Full
GMA 500;Poulsbo (Menlow);SGX535;81088109;100;US15L;200;US15W;2;3.0;9.0c;2.0;;4.2;256;Full;Full;Full
GMA 500;GMA 600;SGX535;2010;81088109;MID;AtomZ6xx;Lincroft (Moorestown);2;3.0;9.0c;2.0;;4.2;256;Full;Full;Full
GMA 500;4102;SGX535;400;81088109;2;3.0;9.0c;2;3.0;9.0c;2.0;;4.2;256;Full;Full;Full
2.0; ;SGX535;6.4;759;Full;Full;Full;GMA;2012;SGX540;Smartphone;AtomZ2460;Penwell (Medfield);Dunno;400;4;
;ES2.0;;6.4;1024;Full;Full;Full;GMA 3600;2011;SGX545;NettopNetbook;AtomD2500AtomN2600;Cedarview (CedarTrail);0BE00BE10BE20BE3;400;4;3.0
9.0c;3.0;;8.56.4;1024;Full;Full;Full;GMA 3650;AtomD2700AtomN2800;640;8.5;GMA;2012;Tablet;AtomZ2760;Cloverview (CloverTrail);08C708C808C908CA08CB08CC08CD08CE08CF
533;2011;SGX545;NettopNetbook;4;Cedarview (CedarTrail);0BE00BE10BE20BE3;3.0;4;3.0;9.0c;3.0;;9.0c;1024;Full;Full;Full
2.0;;SGX545;6.4;2048;Full;Full;Full;;;;;;;;;;
